State/Centre,Type,Board,Grade,Subject,Medium,Textbook Name,Chapter No.,Chapter Name,Chapter - Concept Name,Explanation,Practice,Combined,Selection process for video,Topic Name,Topic - Concept Name,Sub-Topic,Explanation,Practice,Combined,Selection process for video,Reviewed ,Comments
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,8,"Human Environment Interactions, The Tropical and the Subtropical Region",Human Environment, ,,,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,8,"Human Environment Interactions, The Tropical and the Subtropical Region",Human Environment, ,,,,Life in the amazon basin,Amazon basin,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,8,"Human Environment Interactions, The Tropical and the Subtropical Region",Human Environment, ,,,,Climate,Climate,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,8,"Human Environment Interactions, The Tropical and the Subtropical Region",Human Environment, ,,,,Rainforests,Rainforests,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,8,"Human Environment Interactions, The Tropical and the Subtropical Region",Human Environment, ,,,,People of the rainforests,People of the rainforests,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,8,"Human Environment Interactions, The Tropical and the Subtropical Region",Human Environment, ,,,,Life in the ganga-brahmaputra basin,Ganga brahmaputra basin,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,8,"Human Environment Interactions, The Tropical and the Subtropical Region",Human Environment, ,,,,Lake: A source of livelihood,Lake,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,9,Life in the Temperate Grasslands,Temperate Grasslands, ,,,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,9,Life in the Temperate Grasslands,Temperate Grasslands, ,,,,The Prairies,Prairies,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,9,Life in the Temperate Grasslands,Temperate Grasslands, ,,,,Climate,Climate,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,9,Life in the Temperate Grasslands,Temperate Grasslands, ,,,,Flora and fauna,Flora and fauna,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,9,Life in the Temperate Grasslands,Temperate Grasslands, ,,,,People,People,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,9,Life in the Temperate Grasslands,Temperate Grasslands, ,,,,The Velds,Velds,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,9,Life in the Temperate Grasslands,Temperate Grasslands, ,,,,Climate,Climate,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,9,Life in the Temperate Grasslands,Temperate Grasslands, ,,,,Flora and Fauna,Flora and Fauna,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,9,Life in the Temperate Grasslands,Temperate Grasslands, ,,,,People,People,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,10,Life in the Deserts,Deserts,,,,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,10,Life in the Deserts,Deserts,,,,,The Hot Desert – Sahara,Sahara Desert,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,10,Life in the Deserts,Deserts,,,,,The Hot Desert – Sahara,Sahara Desert,Climate,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,10,Life in the Deserts,Deserts,,,,,The Hot Desert – Sahara,Sahara Desert,Flora and Fauna,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,10,Life in the Deserts,Deserts,,,,,The Hot Desert – Sahara,Sahara Desert,People,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,10,Life in the Deserts,Deserts,,,,,The Cold Desert - Ladakh,"Ladakh, Cold Desert",NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,10,Life in the Deserts,Deserts,,,,,The Cold Desert - Ladakh,"Ladakh, Cold Desert",Flora and Fauna,,,,,,
